,precision,recall,f1-score,support
climbing,0.8095238095238095,0.6219512195121951,0.7034482758620689,82.0
crawling,0.64,0.7868852459016393,0.7058823529411765,61.0
eating,0.8024691358024691,0.7926829268292683,0.7975460122699386,82.0
flying,0.6086956521739131,0.6774193548387096,0.6412213740458015,62.0
jumping,0.7384615384615385,0.3902439024390244,0.5106382978723404,123.0
rolling,0.7414965986394558,0.7676056338028169,0.754325259515571,142.0
running,0.5384615384615384,0.7,0.6086956521739131,80.0
walking,0.5915492957746479,0.7368421052631579,0.65625,114.0
accuracy,0.6742627345844504,0.6742627345844504,0.6742627345844504,0.6742627345844504
macro avg,0.6838321961046716,0.6842037985733515,0.6722509030851012,746.0
weighted avg,0.6911519852337029,0.6742627345844504,0.6693390482714452,746.0
