,precision,recall,f1-score,support
adult,0.7687861271676301,0.95,0.8498402555910544,140.0
baby,0.8674698795180723,0.8674698795180723,0.8674698795180723,83.0
ball,0.8727272727272727,0.7741935483870968,0.8205128205128205,62.0
bird,0.8951612903225806,0.9098360655737705,0.9024390243902439,122.0
car,0.95,0.9156626506024096,0.9325153374233128,83.0
cat,0.7815126050420168,0.7622950819672131,0.7717842323651453,122.0
dog,0.8214285714285714,0.6865671641791045,0.7479674796747967,134.0
accuracy,0.8378016085790885,0.8378016085790885,0.8378016085790885,0.8378016085790885
macro avg,0.8510122494580205,0.8380034843182381,0.8417898613536351,746.0
weighted avg,0.8407704993545155,0.8378016085790885,0.8361006478032944,746.0
