,precision,recall,f1-score,support
adult,0.8450704225352113,0.8571428571428571,0.851063829787234,140.0
baby,0.9047619047619048,0.9156626506024096,0.9101796407185628,83.0
ball,0.7272727272727273,0.6451612903225806,0.6837606837606838,62.0
bird,0.8671875,0.9098360655737705,0.888,122.0
car,0.9156626506024096,0.9156626506024096,0.9156626506024096,83.0
cat,0.7903225806451613,0.8032786885245902,0.7967479674796748,122.0
dog,0.8076923076923077,0.7835820895522388,0.7954545454545454,134.0
accuracy,0.839142091152815,0.839142091152815,0.839142091152815,0.839142091152815
macro avg,0.8368528705013888,0.8329037560458366,0.8344099025433014,746.0
weighted avg,0.8377252083251415,0.839142091152815,0.8380927210005968,746.0
