,precision,recall,f1-score,support
climbing,0.8,0.6829268292682927,0.7368421052631579,82.0
crawling,0.6265060240963856,0.8524590163934426,0.7222222222222222,61.0
eating,0.8955223880597015,0.7317073170731707,0.8053691275167785,82.0
flying,0.6142857142857143,0.6935483870967742,0.6515151515151515,62.0
jumping,0.686046511627907,0.4796747967479675,0.5645933014354066,123.0
rolling,0.8203125,0.7394366197183099,0.7777777777777778,142.0
running,0.5344827586206896,0.775,0.6326530612244898,80.0
walking,0.6428571428571429,0.7105263157894737,0.675,114.0
accuracy,0.6943699731903485,0.6943699731903485,0.6943699731903485,0.6943699731903485
macro avg,0.7025016299434426,0.708159910260929,0.6957465933693731,746.0
weighted avg,0.7134689657936882,0.6943699731903485,0.6948558732659631,746.0
