,precision,recall,f1-score,support
climbing,0.8085106382978723,0.4634146341463415,0.5891472868217055,82.0
crawling,0.7058823529411765,0.5901639344262295,0.6428571428571429,61.0
eating,0.5871559633027523,0.7804878048780488,0.6701570680628273,82.0
flying,0.5070422535211268,0.5806451612903226,0.5413533834586466,62.0
jumping,0.5275590551181102,0.5447154471544715,0.536,123.0
rolling,0.7653061224489796,0.528169014084507,0.625,142.0
running,0.51,0.6375,0.5666666666666667,80.0
walking,0.5314685314685315,0.6666666666666666,0.5914396887159533,114.0
accuracy,0.5938337801608579,0.5938337801608579,0.5938337801608579,0.5938337801608579
macro avg,0.6178656146373187,0.5989703328308235,0.5953276545728677,746.0
weighted avg,0.6218374669352119,0.5938337801608579,0.5944726681450475,746.0
