,precision,recall,f1-score,support
adult,0.8449612403100775,0.7785714285714286,0.8104089219330854,140.0
baby,0.8831168831168831,0.8192771084337349,0.85,83.0
ball,0.8076923076923077,0.6774193548387096,0.7368421052631579,62.0
bird,0.6993006993006993,0.819672131147541,0.7547169811320755,122.0
car,0.8987341772151899,0.8554216867469879,0.8765432098765432,83.0
cat,0.7735849056603774,0.6721311475409836,0.7192982456140351,122.0
dog,0.63125,0.753731343283582,0.6870748299319728,134.0
accuracy,0.7680965147453083,0.7680965147453083,0.7680965147453083,0.7680965147453083
macro avg,0.7912343161850764,0.7680320286518525,0.77641204196441,746.0
weighted avg,0.7782100248433611,0.7680965147453083,0.7698960199606041,746.0
